ParentSKU,Site_id,Year,Month,Category_id,Qty,Price,Net_sales,Discount,ATC,MRP,Pack_size,Pack_unit_id,Zone,Master_category,Size,Rank
F0033,DEHRADUN,2018,8,0,790.0,6702.8,30739.0,0,30739.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2018,9,0,1251.0,6702.8,53098.0,0,53098.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2018,10,0,1014.0,6702.8,40804.0,0,40804.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2018,11,0,262.0,6702.8,10136.0,0,10136.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2018,12,0,766.0,6702.8,31990.0,0,31990.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2019,1,0,44.0,6702.8,6702.8,0,6702.8,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2019,2,0,192.0,6702.8,8283.0,0,8283.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2019,3,0,539.0,6702.8,24366.0,0,24366.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2019,4,0,423.0,6702.8,18618.0,0,18618.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2019,5,0,817.0,6702.8,35468.0,0,35468.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2019,6,0,768.0,6702.8,33533.0,0,33533.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2019,7,0,900.0,6702.8,42332.0,0,42332.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2019,8,0,144.0,6702.8,6760.0,0,6760.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2019,9,0,264.0,6702.8,12415.0,0,12415.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2019,10,0,865.0,6702.8,35045.0,0,35045.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2019,11,0,1287.0,6702.8,68177.0,0,68177.0,6702.8,30.0,GM,North,3,30gm,4
